Id,Position,First Name,Nickname,Last Name,FPPG,Played,Count,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
47836-9663,SG,Jrue,Jrue Holiday,Holiday,38.76499837,60,1,7700,WAS@NO,NO,WAS,,,
47836-67312,C,Thomas,Thomas Bryant,Bryant,27.44523693,42,1,7700,WAS@NO,WAS,NO,,,
47836-66048,SF,Brandon,Brandon Ingram,Ingram,38.27741857,62,1,7500,WAS@NO,NO,WAS,,,
47836-80808,PF,Jayson,Jayson Tatum,Tatum,40.48906326,64,1,7500,BOS@TOR,BOS,TOR,,,
47836-60021,SF,Pascal,Pascal Siakam,Siakam,40.58245528,57,1,7500,BOS@TOR,TOR,BOS,,,
47836-24247,SG,Fred,Fred VanVleet,VanVleet,36.62353037,51,1,7200,BOS@TOR,TOR,BOS,,,
47836-9535,PG,Kyle,Kyle Lowry,Lowry,39.5428554,56,1,7200,BOS@TOR,TOR,BOS,,,
47836-80806,PG,Lonzo,Lonzo Ball,Ball,32.14262215,61,1,6900,WAS@NO,NO,WAS,,,
47836-67026,SF,Jaylen,Jaylen Brown,Brown,33.53518564,54,1,6000,BOS@TOR,BOS,TOR,,,
47836-110349,PF,Rui,Rui Hachimura,Hachimura,25.3456527,46,1,5900,WAS@NO,WAS,NO,,,
47836-12366,SF,Gordon,Gordon Hayward,Hayward,33.12244898,49,1,5900,BOS@TOR,BOS,TOR,,,
47836-84668,SF,Troy,Troy Brown,Brown,23.1338454,65,1,5800,WAS@NO,WAS,NO,,,
47836-23670,SG,Marcus,Marcus Smart,Smart,29.68070261,57,1,5500,BOS@TOR,BOS,TOR,,,
47836-12511,PG,Ish,Ish Smith,Smith,24.11406326,64,1,5300,WAS@NO,WAS,NO,,,
47836-81529,PF,Daniel,Daniel Theis,Theis,24.47580645,62,1,5300,BOS@TOR,BOS,TOR,,,
47836-12351,C,Derrick,Derrick Favors,Favors,25.90600098,50,1,5200,WAS@NO,NO,WAS,,,
47836-15560,PG,Shabazz,Shabazz Napier,Napier,22.94545455,55,1,4900,WAS@NO,WAS,NO,,,
47836-9957,PF,Serge,Serge Ibaka,Ibaka,29.48301841,53,1,4900,BOS@TOR,TOR,BOS,,,
47836-14507,PG,Kemba,Kemba Walker,Walker,34.77777778,54,1,4800,BOS@TOR,BOS,TOR,,,
47836-16790,PG,Brad,Brad Wanamaker,Wanamaker,14.94328376,67,1,4700,BOS@TOR,BOS,TOR,,,
47836-16293,SG,Norman,Norman Powell,Powell,26.05744577,47,1,4500,BOS@TOR,TOR,BOS,,,
47836-84677,PG,Jerome,Jerome Robinson,Robinson,10.23898264,59,1,4500,WAS@NO,WAS,NO,,,
47836-9655,SG,JJ,JJ Redick,Redick,21.2793095,58,1,4400,WAS@NO,NO,WAS,,,
47836-68090,SF,OG,OG Anunoby,Anunoby,24.58484811,66,1,4400,BOS@TOR,TOR,BOS,,,
47836-84708,C,Robert,Robert Williams,Williams,16.94400024,25,1,4300,BOS@TOR,BOS,TOR,,,
47836-9581,C,Marc,Marc Gasol,Gasol,23.83076986,39,1,4300,BOS@TOR,TOR,BOS,,,
47836-40562,SG,Josh,Josh Hart,Hart,23.07540944,61,1,4100,WAS@NO,NO,WAS,,,
47836-14516,C,Enes,Enes Kanter,Kanter,20.83636364,55,1,3800,BOS@TOR,BOS,TOR,,,
47836-80824,PG,Frank,Frank Jackson,Jackson,8.801818293,55,1,3700,WAS@NO,NO,WAS,,,
47836-110697,PF,Nicolo,Nicolo Melli,Melli,14.25964891,57,1,3700,WAS@NO,NO,WAS,,,
47836-84722,SF,Isaac,Isaac Bonga,Bonga,12.58387116,62,1,3700,WAS@NO,WAS,NO,,,
47836-110340,C,Jaxson,Jaxson Hayes,Hayes,16.59666646,60,1,3600,WAS@NO,NO,WAS,,,
47836-112709,SG,Javonte,Javonte Green,Green,7.673333062,45,1,3600,BOS@TOR,BOS,TOR,,,
47836-9953,C,Ian,Ian Mahinmi,Mahinmi,21.00263094,38,1,3600,WAS@NO,WAS,NO,,,
47836-68203,C,Chris,Chris Boucher,Boucher,15.26491185,57,1,3600,BOS@TOR,TOR,BOS,,,
47836-84714,C,Moritz,Moritz Wagner,Wagner,18.71190534,42,1,3600,WAS@NO,WAS,NO,,,
47836-101393,SG,Paul,Paul Watson,Watson,3.21666654,6,1,3500,BOS@TOR,TOR,BOS,,,
47836-110356,SG,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,10.6,45,1,3500,WAS@NO,NO,WAS,,,
47836-58519,SG,Gary,Gary Payton II,Payton II,13.13793103,29,1,3500,WAS@NO,WAS,NO,,,
47836-117913,C,Anzejs,Anzejs Pasecniks,Pasecniks,12.6807697,26,1,3500,WAS@NO,WAS,NO,,,
47836-110881,C,Vincent,Vincent Poirier,Poirier,5.157143002,21,1,3500,BOS@TOR,BOS,TOR,,,
47836-42148,PF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,17.7781816,55,1,3500,BOS@TOR,TOR,BOS,,,
47836-85305,SF,Kenrich,Kenrich Williams,Williams,14.75675676,37,1,3500,WAS@NO,NO,WAS,,,
47836-117305,PF,Zylan,Zylan Cheatham,Cheatham,4.73333327,3,1,3500,WAS@NO,NO,WAS,,,
47836-16452,SF,Jarrod,Jarrod Uthoff,Uthoff,2.049999952,4,1,3500,WAS@NO,WAS,NO,,,
47836-112710,C,Tacko,Tacko Fall,Fall,5.866666794,6,1,3500,BOS@TOR,BOS,TOR,,,
47836-48598,SF,Semi,Semi Ojeleye,Ojeleye,7.323076923,65,1,3500,BOS@TOR,BOS,TOR,,,
47836-14554,SF,E'Twaun,E'Twaun Moore,Moore,14.83396249,53,1,3500,WAS@NO,NO,WAS,,,
47836-110307,PF,Dewan,Dewan Hernandez,Hernandez,3.599999905,4,1,3500,BOS@TOR,TOR,BOS,,,
47836-58083,C,Jahlil,Jahlil Okafor,Okafor,16.17142814,28,1,3500,WAS@NO,NO,WAS,,,
47836-110827,SG,Matt,Matt Thomas,Thomas,6.875,36,1,3500,BOS@TOR,TOR,BOS,,,
47836-58350,SF,Stanley,Stanley Johnson,Johnson,3.495238168,21,1,3500,BOS@TOR,TOR,BOS,,,
47836-110319,PG,Tremont,Tremont Waters,Waters,7.280000305,10,1,3500,BOS@TOR,BOS,TOR,,,
47836-110318,PF,Grant,Grant Williams,Williams,10.02121249,66,1,3500,BOS@TOR,BOS,TOR,,,
47836-110321,SG,Romeo,Romeo Langford,Langford,5.765517136,29,1,3500,BOS@TOR,BOS,TOR,,,
47836-41077,SG,Sindarius,Sindarius Thornwell,Thornwell,2.887500048,64,1,3500,WAS@NO,NO,WAS,,,
47836-116340,SG,Terence,Terence Davis,Davis,14.92388096,67,1,3500,BOS@TOR,TOR,BOS,,,
47836-85241,PF,Johnathan,Johnathan Williams,Williams,9.916666667,12,1,3500,WAS@NO,WAS,NO,,,
47836-110328,SF,Admiral,Admiral Schofield,Schofield,6.143333435,30,1,3500,WAS@NO,WAS,NO,,,
47836-18811,PF,Malcolm,Malcolm Miller,Miller,2.646153964,26,1,3500,BOS@TOR,TOR,BOS,,,
47836-15996,PG,Jerian,Jerian Grant,Grant,11.69999981,2,1,3500,WAS@NO,WAS,NO,,,
47836-110332,PG,Carsen,Carsen Edwards,Edwards,6.405555725,36,1,3500,BOS@TOR,BOS,TOR,,,
